replicate,treatment,day,time,scan,sex,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,open,Total
1,low,3,1000,2,both,2,1,0,2,0,0,2,3,1,6,0,5,1,23
1,low,3,1100,3,male,1,2,0,0,0,0,1,3,1,2,0,0,2,12
1,low,3,1100,3,female,1,0,0,1,0,0,1,0,0,2,0,3,3,11
1,low,3,1100,3,both,2,2,0,1,0,0,2,3,2,4,0,3,5,24
1,low,3,1200,4,male,1,1,0,0,0,0,1,3,1,3,0,0,2,12
1,low,3,1200,4,female,0,0,0,1,0,0,1,0,0,3,0,3,3,11
1,low,3,1200,4,both,1,1,0,1,0,0,2,3,1,6,0,3,5,23
1,low,3,1300,5,male,1,1,0,0,0,0,1,3,1,2,0,0,3,12
1,low,3,1300,5,female,0,0,0,1,0,0,1,0,0,2,0,3,4,11
1,low,3,1300,5,both,1,1,0,1,0,0,2,3,1,4,0,3,7,23
1,low,3,1400,6,male,0,1,1,0,0,0,0,3,0,0,1,0,6,12
1,low,3,1400,6,female,0,0,0,0,0,0,1,0,2,2,0,1,5,11
1,low,3,1400,6,both,0,1,1,0,0,0,1,3,2,2,1,1,11,23
1,low,3,1500,7,male,0,1,1,0,0,0,1,3,1,0,1,0,4,12
1,low,3,1500,7,female,0,0,1,0,0,1,3,0,0,3,0,0,3,11
1,low,3,1500,7,both,0,1,2,0,0,1,4,3,1,3,1,0,7,23
1,low,3,1600,8,male,0,4,0,0,0,0,1,2,2,0,2,0,1,12
1,low,3,1600,8,female,0,0,0,0,0,1,0,0,0,5,0,1,3,10
1,low,3,1600,8,both,0,4,0,0,0,1,1,2,2,5,2,1,4,22
1,low,3,1700,9,male,0,3,0,0,1,0,1,2,0,2,0,0,3,12
1,low,3,1700,9,female,0,0,0,1,0,0,0,0,0,6,0,0,4,11
1,low,3,1700,9,both,0,3,0,1,1,0,1,2,0,8,0,0,7,23
1,low,4,900,1,male,0,3,0,0,0,0,1,2,0,4,1,1,0,12
1,low,4,900,1,female,0,1,0,0,1,0,0,0,0,6,2,1,0,11
1,low,4,900,1,both,0,4,0,0,1,0,1,2,0,10,3,2,0,23
1,low,4,1000,2,male,0,3,0,0,0,0,1,2,0,3,2,1,0,12
1,low,4,1000,2,female,0,1,0,0,1,0,0,0,0,6,2,1,0,11
1,low,4,1000,2,both,0,4,0,0,1,0,1,2,0,9,4,2,0,23
1,low,4,1100,3,male,0,3,0,0,0,0,1,2,0,3,2,1,0,12
1,low,4,1100,3,female,0,1,0,0,1,0,0,0,0,6,2,1,0,11
1,low,4,1100,3,both,0,4,0,0,1,0,1,2,0,9,4,2,0,23
1,low,4,1200,4,male,0,3,0,0,0,0,1,2,0,3,2,1,0,12
1,low,4,1200,4,female,0,1,0,0,1,0,0,0,0,5,1,2,1,11
1,low,4,1200,4,both,0,4,0,0,1,0,1,2,0,8,3,3,1,23
1,low,4,1300,5,male,0,3,0,0,0,0,1,2,0,3,2,1,0,12
1,low,4,1300,5,female,0,1,0,0,2,0,0,0,0,4,2,1,1,11
1,low,4,1300,5,both,0,4,0,0,2,0,1,2,0,7,4,2,1,23
1,low,4,1400,6,male,0,3,0,0,0,0,1,2,0,3,1,1,1,12
1,low,4,1400,6,female,0,1,0,0,1,0,0,0,0,4,1,1,3,11
1,low,4,1400,6,both,0,4,0,0,1,0,1,2,0,7,2,2,4,23
1,low,4,1500,7,male,0,3,0,0,0,0,1,2,0,3,1,1,1,12
1,low,4,1500,7,female,0,1,0,0,1,0,0,0,0,5,1,1,2,11
1,low,4,1500,7,both,0,4,0,0,1,0,1,2,0,8,2,2,3,23
1,low,4,1600,8,male,0,3,0,0,0,0,1,2,0,4,1,1,0,12
1,low,4,1600,8,female,0,2,0,0,1,0,0,0,0,5,1,1,1,11
1,low,4,1600,8,both,0,5,0,0,1,0,1,2,0,9,2,2,1,23
1,low,4,1700,9,male,0,2,0,0,0,0,1,3,0,4,1,1,0,12
1,low,4,1700,9,female,0,1,0,0,1,1,0,0,0,5,1,1,1,11
1,low,4,1700,9,both,0,3,0,0,1,1,1,3,0,9,2,2,1,23
1,low,5,900,1,male,0,2,0,0,0,0,1,3,0,4,1,1,0,12
1,low,5,900,1,female,1,0,0,0,1,0,0,0,0,6,2,1,0,11
1,low,5,900,1,both,1,2,0,0,1,0,1,3,0,10,3,2,0,23
1,low,5,1000,2,male,0,2,0,0,0,0,1,3,0,3,1,1,1,12
1,low,5,1000,2,female,1,0,0,0,1,0,0,0,0,6,2,1,0,11
1,low,5,1000,2,both,1,2,0,0,1,0,1,3,0,9,3,2,1,23
