Group.Num,Block,Treatment,Day,Time,Location,Members,Notes
635,2,Low,2,1000,4,S U,
636,2,Low,2,1000,5,L N,
637,2,Low,2,1000,8,C P,
638,2,Low,2,1100,3,F M,
639,2,Low,2,1100,3,V E,
640,2,Low,2,1100,3,J X,
641,2,Low,2,1100,4,S U ,
642,2,Low,2,1100,5,N L,
643,2,Low,2,1200,3,M J,
644,2,Low,2,1200,3,E V,
645,2,Low,2,1200,4,G S U,
646,2,Low,2,1200,5,L N,
647,2,Low,2,1300,3,E M J,
648,2,Low,2,1300,4,S U,
649,2,Low,2,1300,10,O R,
650,2,Low,2,1400,2,K X,
651,2,Low,2,1400,3,E J,
652,2,Low,2,1400,4,S U G,
653,2,Low,2,1400,7,X T,
654,2,Low,2,1400,10,R O,
655,2,Low,2,1500,2,K W,
656,2,Low,2,1500,3,E J ,
657,2,Low,2,1500,4,S U G,
658,2,Low,2,1500,10,R O,
659,2,Low,2,1600,3,E J,
660,2,Low,2,1600,4,S U,
661,2,Low,2,1600,10,R T,
662,2,Low,2,1700,3,E J,
663,2,Low,2,1700,4,S U G W O,
664,2,Low,2,1700,10,P R T,
665,2,Low,3,900,3,E M,
666,2,Low,3,900,4,S U G O,
667,2,Low,3,900,5,D L,
668,2,Low,3,900,10,P R T,
669,2,Low,3,1000,3,M E,
670,2,Low,3,1000,4,S U G O,
671,2,Low,3,1000,5,L D,
672,2,Low,3,1000,10,P T,
673,2,Low,3,1100,4,S U G O,
674,2,Low,3,1200,4,S U G,
675,2,Low,3,1300,3,L E,
676,2,Low,3,1300,4,S U G,
677,2,Low,3,1300,10,R T,
678,2,Low,3,1500,7,B E F,
679,2,Low,3,1500,10,D W,
680,2,Low,3,1600,7,R H E,
681,2,Low,3,1600,7,B F,
682,2,Low,3,1600,10,C D,
683,2,Low,3,1600,10,N W,
684,2,Low,3,1700,1,F G,
685,2,Low,3,1700,3,I J W,
686,2,Low,3,1700,5,M U,
687,2,Low,3,1700,7,E Q S,
688,2,Low,3,1700,10,N D,
689,2,Low,3,1700,10,L C,
690,2,Low,4,900,2,M S,
691,2,Low,4,900,5,O D,
692,2,Low,4,900,10,K R,
693,2,Low,4,900,10,C N,
694,2,Low,4,1000,2,S M,
695,2,Low,4,1000,5,O D,
696,2,Low,4,1000,10,K R,
697,2,Low,4,1100,1,F B,
698,2,Low,4,1100,2,S M,
699,2,Low,4,1100,5,O D,
700,2,Low,4,1100,10,K R,
701,2,Low,4,1200,1,B G,
702,2,Low,4,1200,2,M S,
703,2,Low,4,1200,5,O D,
704,2,Low,4,1300,2,M S,
705,2,Low,4,1300,5,O D,
706,2,Low,4,1300,10,K L C,
707,2,Low,4,1400,2,M S,
708,2,Low,4,1400,5,O D,
709,2,Low,4,1400,10,N R K,
710,2,Low,4,1400,10,L C,
711,2,Low,4,1500,1,B G,
712,2,Low,4,1500,2,M S,
713,2,Low,4,1500,8,E T,
714,2,Low,4,1500,10,L C,
715,2,Low,4,1500,10,R N,
716,2,Low,4,1600,1,W B G,
717,2,Low,4,1600,10,K C,
718,2,Low,4,1600,10,N E,
719,2,Low,4,1700,1,B G F,
720,2,Low,4,1700,2,M S,
721,2,Low,4,1700,8,I Q,
722,2,Low,4,1700,9,W V,
723,2,Low,4,1700,10,C P,
724,2,Low,4,1700,10,E N K,
725,2,Low,5,900,1,B G,
726,2,Low,5,900,2,S M,
727,2,Low,5,900,3,H Q,
728,2,Low,5,900,8,T W,
729,2,Low,5,900,8,I J P,
